Reporting Year,Reporting Month,D_Name,Proj_Name,Sec_NAme,AWC_ID,AWc_Name,Tot_Children_0to6M,Tot_Children_SC_0to6M,Tot_Children_ST_0to6M,Tot_Children_BC_0to6M,Tot_Children_OC_0to6M,Tot_Children_7Mto3Y,Tot_Children_SC_7Mto3Y,Tot_Children_ST_7Mto3Y,Tot_Children_BC_7Mto3Y,Tot_Children_OC_7Mto3Y,Tot_Children_3Yto6Y,Tot_Children_SC_3Yto6Y,Tot_Children_ST_3Yto6Y,Tot_Children_BC_3Yto6Y,Tot_Children_OC_3Yto6Y,Staff_Count,Budget
2025,10,BHADRADRI-KOTHAGUDEM,CHANDRUGONDA,JULURUPADU,2220152,Anatharam,4,0,2,2,0,23,0,10,12,1,23,0,14,9,0,,
2025,10,SIDDIPET,SIDDIPET,Pullur,1710088,PULLUR-IV,1,0,0,1,0,15,0,0,15,0,16,0,0,16,0,,
2025,10,SIDDIPET,SIDDIPET,Pullur,1710274,PULLUR-V,6,0,0,5,1,16,0,0,12,4,16,0,1,15,0,,
2025,10,NIZAMABAD,BODHAN,Mosra,1804223,Govoor-1,4,0,1,1,2,36,3,5,16,12,32,5,2,15,10,,
2025,10,NIZAMABAD,BODHAN,Mosra,1804230,Mosra-3,2,2,0,0,0,14,9,1,2,2,37,27,1,2,7,,
2025,10,NIZAMABAD,BODHAN,Mosra,1804237,Laxmapur-1,5,1,0,4,0,25,1,1,16,7,36,4,1,21,10,,
2025,10,KUMARAMBHEEM-ASIFABAD,KAGAZNAGAR (U),Bareguda,1907046,Koyawagu-1,13,0,0,1,12,68,0,0,1,67,36,0,0,0,36,,
2025,10,JAGITYAL,METPALLY,mohan raopet,2011163,Madhapur-II,5,2,0,3,0,28,7,2,15,4,43,16,1,21,5,,
2025,10,MAHABUBABAD ,MARIPEDA,THALLA OOKAL,2110376,Komatikunta Thanda,1,0,1,0,0,4,0,4,0,0,4,0,4,0,0,,
2025,10,ADILABAD,NARNOOR,TADIHATNUR,1917205,S.T Colony,0,0,0,0,0,9,0,9,0,0,10,0,10,0,0,,
2025,10,MAHABUBABAD ,MARIPEDA,THALLA OOKAL,2110303,Dubba Thanda -1,1,0,1,0,0,2,0,2,0,0,4,0,4,0,0,,
2025,10,KUMARAMBHEEM-ASIFABAD,SIRPUR,Ravindranagar,1913095,Ranvelly,1,0,1,0,0,13,6,1,4,2,33,15,5,10,3,,
2025,10,NIZAMABAD,DICHPALLY,Gottumukku,1809152,Bonkan palli,1,0,0,0,1,29,14,0,14,1,54,15,0,37,2,,
2025,10,NIZAMABAD,DICHPALLY,Rampoor,1809084,Rampoor-1,2,0,0,2,0,17,2,2,10,3,45,0,1,41,3,,
2025,10,JAGITYAL,METPALLY,vellulla,2011040,Vittampet -1,2,0,0,2,0,14,1,0,12,1,15,0,0,15,0,,
2025,10,JAGITYAL,METPALLY,chinthakunta ,2011231,Ambaripeta - I,6,2,0,4,0,28,15,1,10,2,27,15,0,12,0,,
2025,10,MAHABUBABAD ,MARIPEDA,ULLEPALLI,2110044,Gurrapu Thanda - 1,5,0,5,0,0,11,0,10,1,0,8,0,8,0,0,,
2025,10,NAGARKURNOOL,NAGARKURNOOL,peddamudnoor,1417042,Chandubatla,1,0,0,1,0,28,8,0,15,5,24,3,1,12,8,,
2025,10,NAGARKURNOOL,NAGARKURNOOL,Thadoor,1404142,Cherla Itikyal - II,0,0,0,0,0,4,0,0,3,1,15,3,0,9,3,,
2025,10,RANGAREDDY,HAYATHNAGAR,Nadergul,1503073,Nadergul - III,11,0,1,7,3,63,5,4,44,10,36,6,1,23,6,,
2025,10,RANGAREDDY,HAYATHNAGAR,Nadergul,1503078,Guramguda - I,5,0,1,1,3,56,4,12,34,6,37,4,10,16,7,,
2025,10,MAHABUBNAGAR,MAHBUBNAGAR (U),Yedira,1412391,Banjara colony,7,5,0,2,0,43,23,0,12,8,40,24,0,12,4,,
2025,10,MAHABUBNAGAR,MAHBUBNAGAR (U),Yedira,1412064,NewPramangar,2,1,0,0,1,62,18,2,38,4,19,7,0,12,0,,
2025,10,JANGAON,STN.GHANPUR,KUNOOR,2104219,Thidugu-2,2,0,0,2,0,15,0,0,15,0,16,0,0,16,0,,
2025,10,VIKARABAD,PARGI,Kulkacherla,1508119,Ramnagar,3,0,0,3,0,5,0,0,5,0,5,0,0,5,0,,
2025,10,YADADRI-BHUVANGIRI,MOTHKUR (R),Athmakur,2309056,Athmakur-2,3,0,0,2,1,11,0,0,10,1,17,5,0,9,3,,
2025,10,YADADRI-BHUVANGIRI,MOTHKUR (R),Athmakur,2309090,Pallerla-1,3,1,0,2,0,16,1,2,11,2,27,2,0,25,0,,
2025,10,MAHABUBNAGAR,MAHBUBNAGAR (U),vepur,1412132,Vepur-4,5,5,0,0,0,26,26,0,0,0,17,17,0,0,0,,
2025,10,NALGONDA,KONDAMALLEPALLY,Chennaram,2304031,Kondalpahad,2,1,0,1,0,31,7,4,20,0,5,3,0,2,0,,
2025,10,NALGONDA,KONDAMALLEPALLY,Chennaram,2304240,Chinthachettuthanda,3,0,3,0,0,15,0,15,0,0,6,1,5,0,0,,
2025,10,WARANGAL,WARANGAL(U),Laxminagar,2116060,Mysaiah Nagar,2,0,0,0,2,16,3,0,9,4,47,1,0,44,2,,
2025,10,WARANGAL,WARDHANNAPETA,Wardhannapet,2115247,GUBBETTA THANDA,2,0,2,0,0,9,0,9,0,0,5,0,5,0,0,,
2025,10,WARANGAL,WARDHANNAPETA,Rayaparthy,2115281,Bojyathanda,0,0,0,0,0,4,0,3,0,1,4,0,4,0,0,,
2025,10,SANGAREDDY,PATANCHERU,Patancheru,1707029,Nandigam,16,7,0,9,0,64,21,0,41,2,70,17,0,52,1,,
2025,10,VIKARABAD,VIKARABAD,Chengomul,1511170,Medipally kalan,4,1,1,0,2,16,9,0,4,3,17,10,2,1,4,,
2025,10,YADADRI-BHUVANGIRI,MOTHKUR (R),Mothkur,2309145,Shivanagar,0,0,0,0,0,4,0,1,3,0,5,0,0,4,1,,
2025,10,MULUGU,MULUGU,Jangalapalli,2111137,Rainigudem - II,1,0,1,0,0,8,0,6,2,0,6,0,4,2,0,,
