state_code,LGD_ST_Code,state_name,district_code,LGD_Dist_Code,district_name,total_no_of_job_cards_issued,total_no_of_workers,total_no_of_active_job_cards,total_no_of_active_workers,sc_worker_percentage_against_acive_workers,st_worker_percentage_against_active_workers,approved_labour_budget,persondays_of_central_liability_so_far,sc_persondays_percentage_of_total,st_persondays_percentage_of_total,women_persondays_percentage_of_total,average_days_employment_per_household,average_wage_rate_per_day_per_person,total_no_of_HHs_completed_100_days,total_households_worked,total_individuals_worked,differently_abled_persons_worked,no_of_GPs_with_NIL_expenditure,total_no_of_works_taken_up_new_and_spillover,no_of_ongoing_works,no_of_completed_works,percentage_of_NRM_expenditure_in_MWC_blocks,percentage_of_category_B_works,percentage_expenditure_on_agriculture_and_allied_works,total_expenditure,wages,material_and_skilled_wages,total_admin_expenditure,district_normalized,Total_AWCs,Total_Children
13,2,HIMACHAL PRADESH,1305,19.0,KINNAUR,20773,39729,15279,31089,10899,19420,414707,377554,138227,230565,259950,36,307.266033812381,176,10356,13371,18,0,3511,2610,901,57.57,71,66.5,1668.9472824,1160.0952013,412.8421511,96.00993,KINNAUR,,
13,2,HIMACHAL PRADESH,1306,20.0,KULLU,101117,200752,70854,150192,45259,2005,2148878,1266507,412589,14684,698091,36,307.170202944001,1063,35080,54863,73,0,20493,12132,8361,58.83,85,63.18,5624.25805891598,3890.33212219998,1433.437916716,300.48802,KULLU,,
13,2,HIMACHAL PRADESH,1307,21.0,LAHUL AND SPITI,6643,13875,4205,9296,797,8494,57060,85964,4998,80913,57377,36,291.002339816667,84,2332,3166,7,0,910,529,381,69.41,65,78.13,387.4294833,250.1572514,66.9516519,70.32058,LAHUL AND SPITI,,
13,2,HIMACHAL PRADESH,1308,22.0,MANDI,298148,539875,216023,411613,113994,4897,6649308,4403234,1181110,43667,3088301,34,314.998846125372,3296,126029,169633,229,0,57300,30919,26381,49.34,74,52.15,20796.5295210681,13870.1362922001,6143.02655886803,783.36667,MANDI,,
13,2,HIMACHAL PRADESH,1309,23.0,SHIMLA,161600,331296,109609,242578,62776,642,2801450,1847234,501138,4867,942080,33,314.262557299181,918,54490,86264,105,0,28355,16769,11586,53.3,84,61.31,8674.86021696495,5805.16480769996,2372.555669265,497.13974,SHIMLA,,
13,2,HIMACHAL PRADESH,1310,24.0,SIRMAUR,103787,199972,58471,120751,40915,1509,1445814,1229464,408535,17581,553482,39,302.042366307595,1237,30847,46141,52,0,17772,11184,6588,39.75,78,47.85,7738.70687638601,3713.50215850001,3671.909567886,353.29515,SIRMAUR,,
13,2,HIMACHAL PRADESH,1311,25.0,SOLAN,96152,170172,43265,83631,29160,1348,766772,417403,141443,8836,215810,32,314.823600501194,215,12979,17626,6,4,8689,5411,3278,48.98,84,60.1,2581.116925836,1314.0831532,989.858882636001,277.17489,SOLAN,,
13,2,HIMACHAL PRADESH,1312,26.0,UNA,82066,119261,35522,56453,17847,1381,962170,524448,173898,13521,383250,30,327.881008889347,285,16961,19295,41,0,10233,4032,6201,51.3,76,43.5,3920.386232066,1719.5653935,1873.936388566,326.88445,UNA,,
14,1,JAMMU AND KASHMIR,1401,8.0,KUPWARA,116853,209662,100296,184820,104,5833,7265743,5050352,5353,125462,1853807,62,267.451254797686,2240,81303,129609,200,0,20906,18858,2048,56.32,19,47.52,14499.608150494,13507.2297957,743.806814794,248.57154,KUPWARA,,
14,1,JAMMU AND KASHMIR,1402,3.0,BARAMULLA,104554,166773,66733,113260,26,3748,3137097,2221234,365,53044,337046,50,269.209419727953,485,44183,58213,50,0,8273,7684,589,60.88,14,53.9,6674.164584577,5979.7711622,420.786382377,273.60704,BARAMULLA,,
