state_name,district_name,total_no_of_active_workers,total_households_worked,approved_labour_budget,total_expenditure,wages,active_worker_ratio,job_card_activation_rate,work_completion_rate,average_days_employment_per_household
RAJASTHAN,BHARATPUR,363445,77602,2820517,5394.454585172,4583.7419635,0.44459409205897177,0.42507174174003987,0.24922526817640048,27
RAJASTHAN,DHOLPUR,215820,35708,1329076,4486.207286314,2668.4540995,0.5108081049544742,0.4962257368799425,0.11762680743630939,31
RAJASTHAN,KARAULI,301318,63818,2370636,6991.80753154004,5555.14110010004,0.6042663105057445,0.5988525111712051,0.13523589150276386,35
RAJASTHAN,SAWAI MADHOPUR,319430,53122,1796528,4202.498101765,3412.6965713,0.5450121737528089,0.5407349296628452,0.14633665966386555,27
RAJASTHAN,DAUSA,209419,44593,1720258,3665.202249636,2883.1796909,0.5192262396207562,0.4954422944331522,0.1878293212108689,30
RAJASTHAN,JAIPUR,390976,87461,3625290,7481.679413847,6276.903152,0.4782352890810102,0.4728659334184857,0.14018818114127124,33
RAJASTHAN,SIKAR,201847,35211,1500162,4337.7445898,2781.3624723,0.3761724697669131,0.3639864448552064,0.14105675877520538,33
RAJASTHAN,NAGAUR,1079483,268451,12459757,31770.9454746908,22618.9055434998,0.7630920595468597,0.7563880128558477,0.2197882616968337,35
RAJASTHAN,JODHPUR,866667,155284,6518440,16928.186081562,12660.9358293,0.6791241495932309,0.6737799869212407,0.17865146955241085,35
RAJASTHAN,JAISALMER,267617,98169,5824681,19506.907840079,13525.0603291,0.8416502341437948,0.8361606495577787,0.3406617740098697,53
RAJASTHAN,BARMER,1090101,233654,14488856,48662.9793080159,31427.4426176,0.7986737383039939,0.7941408660554947,0.1766053748231966,47
RAJASTHAN,JALORE,410788,65964,2800080,7565.444093932,4714.2753302,0.6074103866070082,0.6006059288251069,0.1651521137890162,33
RAJASTHAN,SIROHI,278033,81985,4272306,8345.91411750902,7370.20647380002,0.6880523253655773,0.6711898300242822,0.12252240465755217,43
RAJASTHAN,PALI,565159,142848,6688280,12605.472148095,10868.1730769,0.6422443819426689,0.6274443341681277,0.14784337293698857,38
RAJASTHAN,AJMER,726010,258753,10443866,22664.4003846789,17498.0785029999,0.8140604011042364,0.8102021912032453,0.17768456375838926,34
RAJASTHAN,TONK,400201,57162,2758399,6626.45944111699,5268.09146159999,0.5860453605590408,0.5807263690607163,0.22881439084219132,37
RAJASTHAN,BUNDI,371683,85504,3148043,6543.59760668201,5632.23612660001,0.6400558632280817,0.6333250148173566,0.0761904761904762,30
RAJASTHAN,BHILWARA,849348,330884,15792351,35378.5178334521,27854.7411613001,0.875012105040848,0.8650276868613258,0.1648735355110867,38
RAJASTHAN,RAJSAMAND,357632,132492,6887217,15175.988882562,13136.8363974,0.7656826726271527,0.7502715835951828,0.18004784688995215,47
RAJASTHAN,UDAIPUR,790533,241793,14736690,32577.4833443769,26089.7109939999,0.6517295876179021,0.637997728102966,0.0739085454169253,46
RAJASTHAN,DUNGARPUR,731386,298867,14930783,34819.137765385,27563.1539379,0.8770604840353708,0.863026413743062,0.25086023267245616,42
RAJASTHAN,BANSWARA,781660,249137,10481754,25152.7633376252,19424.2523952002,0.8303350722716355,0.8141753172096775,0.24022320245647397,32
RAJASTHAN,CHITTORGARH,326051,88584,4238737,8573.835366048,7335.3303757,0.5977191232868676,0.5788402430123665,0.16270896656534956,36
