,state_code,LGD_ST_Code,district_code,LGD_Dist_Code,total_no_of_job_cards_issued,total_no_of_workers,total_no_of_active_job_cards,total_no_of_active_workers,sc_worker_percentage_against_acive_workers,st_worker_percentage_against_active_workers,approved_labour_budget,persondays_of_central_liability_so_far,sc_persondays_percentage_of_total,st_persondays_percentage_of_total,women_persondays_percentage_of_total,average_days_employment_per_household,average_wage_rate_per_day_per_person,total_no_of_HHs_completed_100_days,total_households_worked,total_individuals_worked,differently_abled_persons_worked,no_of_GPs_with_NIL_expenditure,total_no_of_works_taken_up_new_and_spillover,no_of_ongoing_works,no_of_completed_works,percentage_of_NRM_expenditure_in_MWC_blocks,percentage_of_category_B_works,percentage_expenditure_on_agriculture_and_allied_works,total_expenditure,wages,material_and_skilled_wages,total_admin_expenditure
differently_abled_persons_worked,0.04416248720035686,0.37600722762389355,0.04407606956549747,0.2573440529793301,0.1790844162121377,0.18403154862211757,0.5166683825043179,0.495821300810851,0.39068246866700124,0.20856940978836425,0.4806418563162846,0.5469489483053933,0.47421905585583307,0.2053028117178649,0.6142524007945743,-0.07383434085927977,-0.018580925173041836,0.17530248346904348,0.6745767603464131,0.6749898225176351,1.0,-0.13877208235898036,0.2791596423343309,0.2763375481046635,0.20061096399487513,0.18121614405298944,0.019662912246970088,0.10399668133191009,0.5372049685514133,0.5092636320164914,0.49589856709772245,0.4391627748570779
no_of_GPs_with_NIL_expenditure,0.08646243878971051,-0.10908284996552499,0.08430947702661101,-0.10604077454387337,0.23931279494843352,0.2768180748230351,-0.1661862003178029,-0.1515190600892208,-0.08910740640591663,-0.09151341915878858,-0.2211152008396441,-0.24561277896400208,-0.18641044993710756,-0.11151069881229903,-0.2178010638686732,-0.3950384027402954,-0.1982956296581799,-0.1148992100361371,-0.24776896853250963,-0.24825389696707906,-0.13877208235898036,1.0,-0.18587992525462338,-0.17834672625869114,-0.1470295127892039,-0.3633853191438569,-0.005818620046047656,-0.3013212176866313,-0.22489328681970597,-0.2425661901490487,-0.16039791288833774,0.007165929785308363
total_no_of_works_taken_up_new_and_spillover,-0.05689510936625534,0.17209749118191303,-0.0559942003801403,0.0057498963802602365,0.6283623617800427,0.610868893065389,0.7162771419862786,0.7437255947987279,0.3593202568052268,0.36540209139615387,0.731888277325492,0.7396758198167604,0.3995293403198882,0.3189107730527661,0.6030077913918612,0.17225448959935497,0.05312424874151341,0.5892722087030661,0.6744982309963056,0.7369921825716378,0.2791596423343309,-0.18587992525462338,1.0,0.9646110915486459,0.7787673094347835,0.04753052708462638,0.37665684393816645,0.037727929712111925,0.7814273624220929,0.7753866576407898,0.6695865462869467,0.38309418631014464
no_of_ongoing_works,-0.08900399583700788,0.16519406642856085,-0.08840834844410494,0.01187389625610341,0.5658554918591974,0.5685015270210846,0.6622088018540173,0.7097845411501678,0.3326409302131645,0.36030338235885195,0.7165383326515722,0.712035677178614,0.36794774990536977,0.3274453807736338,0.5763649050191668,0.16999534597255428,0.06404051261869852,0.5837149763223946,0.6402947745524048,0.716264091289821,0.2763375481046635,-0.17834672625869114,0.9646110915486459,1.0,0.5857997408852356,0.09553481433551142,0.31887802521167924,0.07787601435266217,0.7653842645717451,0.7486195184392194,0.682437060785916,0.37293592316494345
no_of_completed_works,0.036872346706059045,0.1359583029031863,0.03822434158830129,-0.010579016593828296,0.5851538965621875,0.52508954018779,0.6261410945116231,0.5973212779250892,0.3130471076388882,0.2659289844353374,0.5448693183193651,0.5795179259409549,0.3526382428832023,0.20120234356321068,0.4822193473900958,0.12501814969834094,0.010927840010686326,0.4225141356469098,0.5498620587811441,0.561209494394512,0.20061096399487513,-0.1470295127892039,0.7787673094347835,0.5857997408852356,1.0,-0.08119345555767853,0.39907738488036854,-0.06931140486375523,0.5809269396727547,0.6022447712978094,0.43450452167523146,0.29025462226285653
percentage_of_NRM_expenditure_in_MWC_blocks,0.07270260475919037,0.015208616744715006,0.07481851594507295,-0.024541263194563245,-0.1757570469845072,-0.23517882024348868,0.16374840294528553,0.09195060559375758,0.23642481770046408,-0.033984584916712766,0.26135017144648653,0.278593867288895,0.3715031885011862,0.0306536135943056,0.2728275379040441,0.2584425429468503,0.32023520728613775,0.1267448844302891,0.27121305293921555,0.23729279862719532,0.18121614405298944,-0.3633853191438569,0.04753052708462638,0.09553481433551142,-0.08119345555767853,1.0,-0.36897749258811263,0.6807567117495522,0.2651236560175819,0.2881815920140574,0.15977239628368964,0.18176859043984456
percentage_of_category_B_works,-0.046487147014814115,0.24694878444900997,-0.04804176163586392,0.10219468292085052,0.3333907159221806,0.3908135180173289,0.18845659075332555,0.2757791094662269,-0.04062146309208202,0.24704859326793838,0.13517038869419548,0.11601943742709687,-0.11479413614601099,0.14043286308415265,0.08755314110819667,-0.05557014337824305,-0.14975876088291837,0.1261744376860492,0.09868021766022374,0.15248553956593883,0.019662912246970088,-0.005818620046047656,0.37665684393816645,0.31887802521167924,0.39907738488036854,-0.36897749258811263,1.0,-0.23731864833431954,0.09808669731307863,0.11993166025324327,0.029376337443721867,0.046925206014300544
percentage_expenditure_on_agriculture_and_allied_works,0.07851644599930091,-0.05432990110639643,0.07999338634067045,-0.047511776598230575,-0.170712046059156,-0.2259580208273365,0.03923287289290488,-0.024214818202496637,0.07776102567304721,-0.04541314841751985,0.12500227539729733,0.1128873793967636,0.16750011187441424,0.023666410756864834,0.09007103581043487,0.2352047247266178,0.197360141446737,0.015674698704752115,0.13499347143857712,0.09969452257267009,0.10399668133191009,-0.3013212176866313,0.037727929712111925,0.07787601435266217,-0.06931140486375523,0.6807567117495522,-0.23731864833431954,1.0,0.12330097361937047,0.12560746630730635,0.10336934107220767,0.01575928955333859
total_expenditure,-0.05978125115012069,0.19006128979085476,-0.05907299120243166,0.02298769175003585,0.5541711265292657,0.5105480327995354,0.8545079157101397,0.8170708984004672,0.549268365551131,0.2808492000887542,0.9019724860504748,0.9583687364014736,0.6850249592981908,0.3261444284327164,0.9004486463594978,0.21992969903090193,0.057197248240039855,0.6334313952511459,0.9106205534794511,0.9157022866860318,0.5372049685514133,-0.22489328681970597,0.7814273624220929,0.7653842645717451,0.5809269396727547,0.2651236560175819,0.09808669731307863,0.12330097361937047,1.0,0.980847290508468,0.8812221564092222,0.5169297857574985
wages,-0.04200342560767583,0.18127743203897928,-0.041672835069359544,0.006419613487898998,0.5564913143846119,0.5034920083293097,0.855822756709394,0.8072119419320595,0.5182038774277425,0.31290593733018457,0.9123681501416209,0.9756634576697739,0.6730574063173198,0.36283548706533336,0.9224001589800128,0.26365107043885594,0.0673696601187087,0.641184872360907,0.9145441085264816,0.9041387789748697,0.5092636320164914,-0.2425661901490487,0.7753866576407898,0.7486195184392194,0.6022447712978094,0.2881815920140574,0.11993166025324327,0.12560746630730635,0.980847290508468,1.0,0.7746623566479861,0.48852290799437237
material_and_skilled_wages,-0.11585221296449844,0.14157284491125,-0.11429545529136186,0.037467416587505846,0.45950649680787103,0.43867578898374976,0.7132126845911234,0.70376052685884,0.5180679378056895,0.1564078634784237,0.736311790359533,0.7611801692074865,0.5890863142168414,0.1870641350852461,0.6991937061851199,0.09207972969421316,0.04016938471416582,0.5139083234615777,0.7541519241160992,0.7904286146397712,0.49589856709772245,-0.16039791288833774,0.6695865462869467,0.682437060785916,0.43450452167523146,0.15977239628368964,0.029376337443721867,0.10336934107220767,0.8812221564092222,0.7746623566479861,1.0,0.4082408494859735
total_admin_expenditure,0.15062688919448008,0.4034423491623538,0.1505987799957545,0.18579931756125553,0.26637971820441,0.30071221443211826,0.4172194603893217,0.44000177121108097,0.40942521123569253,0.147503906215511,0.39802840252969107,0.47073173649456423,0.4477455802375257,0.13844671518168136,0.4594152504787073,-0.0017717767653889667,-0.10632773777221882,0.29610602046476786,0.4428494120177419,0.48940203247250913,0.4391627748570779,0.007165929785308363,0.38309418631014464,0.37293592316494345,0.29025462226285653,0.18176859043984456,0.046925206014300544,0.01575928955333859,0.5169297857574985,0.48852290799437237,0.4082408494859735,1.0
